Iteration no,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,
11,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,14.01751536,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,14.01751536,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,10,10.08823301
12,12.35059021,6.905751695,6.905751695,14.01751536,12.35059021,6.905751695,6.717545083,14.01751536,6.717545083,12.35059021,12.35059021,6.905751695,14.01751536,9.907088632,6.47382959,12.35059021,14.01751536,12.35059021,14.01751536,14.01751536,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,14.01751536,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,14.01751536,12.35059021,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,14.01751536,6.905751695,12.35059021,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,14.01751536,12.35059021,6.905751695,14.01751536,6.905751695,12.35059021,14.01751536,12.35059021,6.905751695,14.01751536,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,14.01751536,6.905751695,12.35059021,12.35059021,4.35542962,14.01751536,6.905751695,12.35059021,12.35059021,18.17097951,14.01751536,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,12.35059021,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,11,10.45495654
13,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,12.35059021,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,12.35059021,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,12.35059021,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,12,10.90502633
14,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,12.35059021,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,13,10.93836484
15,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,14,10.95503409
16,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,15,10.97170334
17,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,16,10.97170334
18,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,17,10.97170334
19,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,6.717545083,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,15.76606426,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,6.905751695,14.01751536,6.905751695,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,18,10.98918883
20,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,14.01751536,14.01751536,6.905751695,14.01751536,9.907088632,6.47382959,15.76606426,14.01751536,14.01751536,14.01751536,14.01751536,6.905751695,6.905751695,14.01751536,14.01751536,4.384854086,15.76606426,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.01751536,14.01751536,6.717545083,6.905751695,14.01751536,6.717545083,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,14.01751536,6.905751695,14.01751536,15.76606426,14.01751536,6.905751695,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,6.905751695,14.01751536,14.01751536,14.01751536,14.11712809,4.802045292,14.01751536,14.01751536,6.905751695,14.01751536,15.76606426,4.35542962,14.01751536,6.905751695,14.01751536,14.01751536,18.17097951,14.01751536,6.905751695,14.01751536,6.717545083,4.35542962,6.905751695,14.01751536,9.650387796,14.01751536,6.905751695,9.650387796,14.01751536,6.905751695,14.01751536,14.01751536,6.905751695,6.905751695,6.905751695,14.01751536,6.905751695,,19,11.16953772
